"type of registration";"type of fuel";"month";"Private cars";"Buses";"Vans and motorhomes";"Lorries"
"New vehicles";"Fossil";"2013M02";10219;47;2339;332
"New vehicles";"Fossil";"2013M03";9850;51;2505;294
"New vehicles";"Fossil";"2013M04";12935;46;3289;425
"New vehicles";"Fossil";"2013M05";10978;115;2490;390
"New vehicles";"Fossil";"2013M06";9971;221;2625;394
"New vehicles";"Fossil";"2013M07";10256;115;2173;314
"New vehicles";"Fossil";"2013M08";10090;229;2653;358
"New vehicles";"Fossil";"2013M09";10272;65;2303;362
"New vehicles";"Fossil";"2013M10";10862;70;2597;450
"New vehicles";"Fossil";"2013M11";9818;47;2310;433
"New vehicles";"Fossil";"2013M12";9709;159;2956;552
"New vehicles";"Fossil";"2014M01";9346;37;1928;372
"New vehicles";"Fossil";"2014M02";8976;27;2190;379
"New vehicles";"Fossil";"2014M03";10038;80;2766;427
"New vehicles";"Fossil";"2014M04";9934;42;2642;440
"New vehicles";"Fossil";"2014M05";10044;81;2675;420
"New vehicles";"Fossil";"2014M06";9157;180;2562;418
"New vehicles";"Fossil";"2014M07";9423;105;1955;283
"New vehicles";"Fossil";"2014M08";8896;91;2821;362
"New vehicles";"Fossil";"2014M09";9120;65;2350;427
"New vehicles";"Fossil";"2014M10";10430;78;2741;435
"New vehicles";"Fossil";"2014M11";9034;49;2499;362
"New vehicles";"Fossil";"2014M12";10287;161;2516;376
"New vehicles";"Fossil";"2015M01";7538;59;2241;374
"New vehicles";"Fossil";"2015M02";7650;32;2451;341
"New vehicles";"Fossil";"2015M03";9396;69;2847;370
"New vehicles";"Fossil";"2015M04";9272;30;2946;378
"New vehicles";"Fossil";"2015M05";8500;99;2733;398
"New vehicles";"Fossil";"2015M06";9675;204;2647;449
"New vehicles";"Fossil";"2015M07";9063;109;2159;268
"New vehicles";"Fossil";"2015M08";9095;44;2592;339
"New vehicles";"Fossil";"2015M09";8748;32;2438;420
"New vehicles";"Fossil";"2015M10";9168;34;2891;416
"New vehicles";"Fossil";"2015M11";8619;44;2862;388
"New vehicles";"Fossil";"2015M12";9654;192;4357;250
"New vehicles";"Fossil";"2016M01";7115;38;1836;428
"New vehicles";"Fossil";"2016M02";7518;53;2444;323
"New vehicles";"Fossil";"2016M03";7907;59;2753;373
"New vehicles";"Fossil";"2016M04";8597;57;3176;466
"New vehicles";"Fossil";"2016M05";8014;112;2661;475
"New vehicles";"Fossil";"2016M06";8625;596;2992;494
"New vehicles";"Fossil";"2016M07";7050;163;2262;275
"New vehicles";"Fossil";"2016M08";7567;53;3569;383
"New vehicles";"Fossil";"2016M09";7253;44;2844;484
"New vehicles";"Fossil";"2016M10";6892;62;2839;432
"New vehicles";"Fossil";"2016M11";7383;30;3379;433
"New vehicles";"Fossil";"2016M12";8572;110;5273;459
"New vehicles";"Fossil";"2017M01";6367;41;1839;455
"New vehicles";"Fossil";"2017M02";6166;58;2596;344
"New vehicles";"Fossil";"2017M03";6844;161;3507;494
"New vehicles";"Fossil";"2017M04";6569;70;2841;375
"New vehicles";"Fossil";"2017M05";7708;82;3411;512
"New vehicles";"Fossil";"2017M06";6622;170;3360;548
"New vehicles";"Fossil";"2017M07";5759;80;2587;268
"New vehicles";"Fossil";"2017M08";6256;109;3688;422
"New vehicles";"Fossil";"2017M09";5412;134;2959;419
"New vehicles";"Fossil";"2017M10";5352;58;3180;402
"New vehicles";"Fossil";"2017M11";6255;87;3057;423
"New vehicles";"Fossil";"2017M12";6689;90;3125;344
"New vehicles";"Fossil";"2018M01";4295;65;2717;543
"New vehicles";"Fossil";"2018M02";4536;55;2678;366
"New vehicles";"Fossil";"2018M03";5177;41;3035;392
"New vehicles";"Fossil";"2018M04";6381;58;3580;515
"New vehicles";"Fossil";"2018M05";5704;139;3300;478
"New vehicles";"Fossil";"2018M06";6080;203;3460;506
"New vehicles";"Fossil";"2018M07";4587;145;2304;319
"New vehicles";"Fossil";"2018M08";6696;41;3397;492
"New vehicles";"Fossil";"2018M09";3000;46;2888;478
"New vehicles";"Fossil";"2018M10";3805;43;3642;513
"New vehicles";"Fossil";"2018M11";4149;39;3045;480
"New vehicles";"Fossil";"2018M12";4280;36;2858;356
"New vehicles";"Fossil";"2019M01";3243;37;2573;526
"New vehicles";"Fossil";"2019M02";3923;44;2643;421
"New vehicles";"Fossil";"2019M03";4093;61;3340;499
"New vehicles";"Fossil";"2019M04";4316;57;3523;507
"New vehicles";"Fossil";"2019M05";4574;164;3591;498
"New vehicles";"Fossil";"2019M06";4029;660;3280;486
"New vehicles";"Fossil";"2019M07";3116;498;2559;365
"New vehicles";"Fossil";"2019M08";4391;196;4669;619
"New vehicles";"Fossil";"2019M09";2403;92;2577;512
"New vehicles";"Fossil";"2019M10";2686;113;2599;645
"New vehicles";"Fossil";"2019M11";2424;42;2380;516
"New vehicles";"Fossil";"2019M12";3747;114;2669;309
"New vehicles";"Fossil";"2020M01";1867;97;2470;538
"New vehicles";"Fossil";"2020M02";1917;22;2552;354
"New vehicles";"Fossil";"2020M03";1917;49;2596;415
"New vehicles";"Fossil";"2020M04";1467;113;2144;473
"New vehicles";"Fossil";"2020M05";1556;43;2275;415
"New vehicles";"Fossil";"2020M06";2400;325;2619;390
"New vehicles";"Fossil";"2020M07";1966;45;1880;201
"New vehicles";"Fossil";"2020M08";1976;50;3015;323
"New vehicles";"Fossil";"2020M09";1393;169;2856;363
"New vehicles";"Fossil";"2020M10";1149;46;2680;453
"New vehicles";"Fossil";"2020M11";1064;48;2391;377
"New vehicles";"Fossil";"2020M12";1192;144;3228;291
"New vehicles";"Fossil";"2021M01";883;26;1896;463
"New vehicles";"Fossil";"2021M02";1011;25;2348;381
"New vehicles";"Fossil";"2021M03";977;52;2831;399
"New vehicles";"Fossil";"2021M04";1049;36;2899;397
"New vehicles";"Fossil";"2021M05";787;28;2417;395
"New vehicles";"Fossil";"2021M06";1154;199;3206;449
"New vehicles";"Fossil";"2021M07";643;424;1828;281
"New vehicles";"Fossil";"2021M08";963;90;2796;354
"New vehicles";"Fossil";"2021M09";615;27;2362;374
"New vehicles";"Fossil";"2021M10";455;39;1966;461
"New vehicles";"Fossil";"2021M11";551;18;1831;377
"New vehicles";"Fossil";"2021M12";983;30;2975;291
"New vehicles";"Fossil";"2022M01";271;30;1146;424
"New vehicles";"Fossil";"2022M02";532;16;1761;336
"New vehicles";"Fossil";"2022M03";536;17;2117;382
"New vehicles";"Fossil";"2022M04";517;7;1868;353
"New vehicles";"Fossil";"2022M05";548;28;1904;354
"New vehicles";"Fossil";"2022M06";714;75;2164;390
"New vehicles";"Fossil";"2022M07";454;17;1313;208
"New vehicles";"Fossil";"2022M08";596;25;2635;358
"New vehicles";"Fossil";"2022M09";577;18;2090;390
"New vehicles";"Fossil";"2022M10";581;14;1766;423
"New vehicles";"Fossil";"2022M11";510;22;1730;437
"New vehicles";"Fossil";"2022M12";1219;20;2535;299
"New vehicles";"Fossil";"2023M01";149;33;554;428
"New vehicles";"Fossil";"2023M02";258;22;1276;380
"New vehicles";"Fossil";"2023M03";431;24;1838;541
"New vehicles";"Fossil";"2023M04";343;27;1512;421
"New vehicles";"Fossil";"2023M05";367;52;1723;457
"New vehicles";"Fossil";"2023M06";455;120;2265;427
"New vehicles";"Fossil";"2023M07";256;18;998;218
"New vehicles";"Fossil";"2023M08";356;24;2122;601
"New vehicles";"Fossil";"2023M09";216;35;2016;354
"New vehicles";"Fossil";"2023M10";227;41;1822;466
"New vehicles";"Fossil";"2023M11";218;27;2059;446
"New vehicles";"Fossil";"2023M12";424;42;2927;304
"New vehicles";"Fossil";"2024M01";115;28;901;497
"New vehicles";"Fossil";"2024M02";213;49;1603;442
"New vehicles";"Fossil";"2024M03";225;34;1692;360
"New vehicles";"Fossil";"2024M04";396;40;2483;531
"New vehicles";"Fossil";"2024M05";467;54;2292;412
"New vehicles";"Fossil";"2024M06";350;100;2467;392
"New vehicles";"Fossil";"2024M07";178;35;1263;221
"New vehicles";"Fossil";"2024M08";175;55;2013;402
"New vehicles";"Fossil";"2024M09";146;29;1550;453
"New vehicles";"Fossil";"2024M10";263;26;1669;485
"New vehicles";"Fossil";"2024M11";252;20;1245;392
"New vehicles";"Hybrid";"1995M01";0;0;0;0
"New vehicles";"Hybrid";"1995M02";0;0;0;0
"New vehicles";"Hybrid";"1995M03";0;0;0;0
"New vehicles";"Hybrid";"1995M04";0;0;0;0
"New vehicles";"Hybrid";"1995M05";0;0;0;0
"New vehicles";"Hybrid";"1995M06";0;0;0;0
"New vehicles";"Hybrid";"1995M07";0;0;0;0
"New vehicles";"Hybrid";"1995M08";0;0;0;0
"New vehicles";"Hybrid";"1995M09";0;0;0;0
"New vehicles";"Hybrid";"1995M10";0;0;0;0
"New vehicles";"Hybrid";"1995M11";0;0;0;0
"New vehicles";"Hybrid";"1995M12";0;0;0;0
"New vehicles";"Hybrid";"1996M01";0;0;0;0
"New vehicles";"Hybrid";"1996M02";0;0;0;0
"New vehicles";"Hybrid";"1996M03";0;0;0;0
"New vehicles";"Hybrid";"1996M04";0;0;0;0
"New vehicles";"Hybrid";"1996M05";0;0;0;0
"New vehicles";"Hybrid";"1996M06";0;0;0;0
"New vehicles";"Hybrid";"1996M07";0;0;0;0
"New vehicles";"Hybrid";"1996M08";0;0;0;0
"New vehicles";"Hybrid";"1996M09";0;0;0;0
"New vehicles";"Hybrid";"1996M10";0;0;0;0
"New vehicles";"Hybrid";"1996M11";0;0;0;0
"New vehicles";"Hybrid";"1996M12";0;0;0;0
"New vehicles";"Hybrid";"1997M01";0;0;0;0
"New vehicles";"Hybrid";"1997M02";0;0;0;0
"New vehicles";"Hybrid";"1997M03";0;0;0;0
"New vehicles";"Hybrid";"1997M04";0;0;0;0
"New vehicles";"Hybrid";"1997M05";0;0;0;0
"New vehicles";"Hybrid";"1997M06";0;0;0;0
"New vehicles";"Hybrid";"1997M07";0;0;0;0
"New vehicles";"Hybrid";"1997M08";0;0;0;0
"New vehicles";"Hybrid";"1997M09";0;0;0;0
"New vehicles";"Hybrid";"1997M10";0;0;0;0
"New vehicles";"Hybrid";"1997M11";0;0;0;0
"New vehicles";"Hybrid";"1997M12";0;0;0;0
"New vehicles";"Hybrid";"1998M01";0;0;0;0
"New vehicles";"Hybrid";"1998M02";0;0;0;0
"New vehicles";"Hybrid";"1998M03";0;0;0;0
"New vehicles";"Hybrid";"1998M04";0;0;0;0
"New vehicles";"Hybrid";"1998M05";0;0;0;0
"New vehicles";"Hybrid";"1998M06";0;0;0;0
"New vehicles";"Hybrid";"1998M07";0;0;0;0
"New vehicles";"Hybrid";"1998M08";0;0;0;0
"New vehicles";"Hybrid";"1998M09";0;0;0;0
"New vehicles";"Hybrid";"1998M10";0;0;0;0
"New vehicles";"Hybrid";"1998M11";0;0;0;0
"New vehicles";"Hybrid";"1998M12";0;0;0;0
"New vehicles";"Hybrid";"1999M01";0;0;0;0
"New vehicles";"Hybrid";"1999M02";0;0;0;0
"New vehicles";"Hybrid";"1999M03";0;0;0;0
"New vehicles";"Hybrid";"1999M04";0;0;0;0
"New vehicles";"Hybrid";"1999M05";0;0;0;0
"New vehicles";"Hybrid";"1999M06";0;0;0;0
"New vehicles";"Hybrid";"1999M07";0;0;0;0
"New vehicles";"Hybrid";"1999M08";0;0;0;0
"New vehicles";"Hybrid";"1999M09";0;0;0;0
"New vehicles";"Hybrid";"1999M10";0;0;0;0
"New vehicles";"Hybrid";"1999M11";0;0;0;0
"New vehicles";"Hybrid";"1999M12";0;0;0;0
"New vehicles";"Hybrid";"2000M01";0;0;0;0
"New vehicles";"Hybrid";"2000M02";0;0;0;0
"New vehicles";"Hybrid";"2000M03";0;0;0;0
"New vehicles";"Hybrid";"2000M04";0;0;0;0
"New vehicles";"Hybrid";"2000M05";0;0;0;0
"New vehicles";"Hybrid";"2000M06";0;0;0;0
"New vehicles";"Hybrid";"2000M07";0;0;0;0
"New vehicles";"Hybrid";"2000M08";0;0;0;0
"New vehicles";"Hybrid";"2000M09";0;0;0;0
"New vehicles";"Hybrid";"2000M10";0;0;0;0
"New vehicles";"Hybrid";"2000M11";0;0;0;0
"New vehicles";"Hybrid";"2000M12";0;0;0;0
"New vehicles";"Hybrid";"2001M01";0;0;0;0
"New vehicles";"Hybrid";"2001M02";0;0;0;0
"New vehicles";"Hybrid";"2001M03";0;0;0;0
"New vehicles";"Hybrid";"2001M04";0;0;0;0
"New vehicles";"Hybrid";"2001M05";0;0;0;0
"New vehicles";"Hybrid";"2001M06";0;0;0;0
"New vehicles";"Hybrid";"2001M07";0;0;0;0
"New vehicles";"Hybrid";"2001M08";0;0;0;0
"New vehicles";"Hybrid";"2001M09";0;0;0;0
"New vehicles";"Hybrid";"2001M10";0;0;0;0
"New vehicles";"Hybrid";"2001M11";0;0;0;0
"New vehicles";"Hybrid";"2001M12";0;0;0;0
"New vehicles";"Hybrid";"2002M01";0;0;0;0
"New vehicles";"Hybrid";"2002M02";0;0;0;0
"New vehicles";"Hybrid";"2002M03";0;0;0;0
"New vehicles";"Hybrid";"2002M04";0;0;0;0
"New vehicles";"Hybrid";"2002M05";0;0;0;0
"New vehicles";"Hybrid";"2002M06";0;0;0;0
"New vehicles";"Hybrid";"2002M07";0;0;0;0
"New vehicles";"Hybrid";"2002M08";0;0;0;0
"New vehicles";"Hybrid";"2002M09";0;0;0;0
"New vehicles";"Hybrid";"2002M10";0;0;0;0
"New vehicles";"Hybrid";"2002M11";0;0;0;0
"New vehicles";"Hybrid";"2002M12";0;0;0;0
"New vehicles";"Hybrid";"2003M01";0;0;0;0
"New vehicles";"Hybrid";"2003M02";0;0;0;0
"New vehicles";"Hybrid";"2003M03";0;0;0;0
"New vehicles";"Hybrid";"2003M04";0;0;0;0
"New vehicles";"Hybrid";"2003M05";0;0;0;0
"New vehicles";"Hybrid";"2003M06";0;0;0;0
"New vehicles";"Hybrid";"2003M07";0;0;0;0
"New vehicles";"Hybrid";"2003M08";0;0;0;0
"New vehicles";"Hybrid";"2003M09";0;0;0;0
"New vehicles";"Hybrid";"2003M10";0;0;0;0
"New vehicles";"Hybrid";"2003M11";0;0;0;0
"New vehicles";"Hybrid";"2003M12";0;0;0;0
"New vehicles";"Hybrid";"2004M01";0;0;0;0
"New vehicles";"Hybrid";"2004M02";0;0;0;0
"New vehicles";"Hybrid";"2004M03";0;0;0;0
"New vehicles";"Hybrid";"2004M04";0;0;0;0
"New vehicles";"Hybrid";"2004M05";0;0;0;0
"New vehicles";"Hybrid";"2004M06";0;0;0;0
"New vehicles";"Hybrid";"2004M07";0;0;0;0
"New vehicles";"Hybrid";"2004M08";0;0;0;0
"New vehicles";"Hybrid";"2004M09";0;0;0;0
"New vehicles";"Hybrid";"2004M10";0;0;0;0
"New vehicles";"Hybrid";"2004M11";0;0;0;0
"New vehicles";"Hybrid";"2004M12";0;0;0;0
"New vehicles";"Hybrid";"2005M01";0;0;0;0
"New vehicles";"Hybrid";"2005M02";0;0;0;0
"New vehicles";"Hybrid";"2005M03";0;0;0;0
"New vehicles";"Hybrid";"2005M04";0;0;0;0
"New vehicles";"Hybrid";"2005M05";0;0;0;0
"New vehicles";"Hybrid";"2005M06";0;0;0;0
"New vehicles";"Hybrid";"2005M07";0;0;0;0
"New vehicles";"Hybrid";"2005M08";0;0;0;0
"New vehicles";"Hybrid";"2005M09";0;0;0;0
"New vehicles";"Hybrid";"2005M10";0;0;0;0
"New vehicles";"Hybrid";"2005M11";0;0;0;0
"New vehicles";"Hybrid";"2005M12";0;0;0;0
"New vehicles";"Hybrid";"2006M01";0;0;0;0
"New vehicles";"Hybrid";"2006M02";0;0;0;0
"New vehicles";"Hybrid";"2006M03";0;0;0;0
"New vehicles";"Hybrid";"2006M04";0;0;0;0
"New vehicles";"Hybrid";"2006M05";0;0;0;0
"New vehicles";"Hybrid";"2006M06";0;0;0;0
"New vehicles";"Hybrid";"2006M07";0;0;0;0
"New vehicles";"Hybrid";"2006M08";0;0;0;0
"New vehicles";"Hybrid";"2006M09";0;0;0;0
"New vehicles";"Hybrid";"2006M10";0;0;0;0
"New vehicles";"Hybrid";"2006M11";0;0;0;0
"New vehicles";"Hybrid";"2006M12";0;0;0;0
"New vehicles";"Hybrid";"2007M01";0;0;0;0
"New vehicles";"Hybrid";"2007M02";0;0;0;0
"New vehicles";"Hybrid";"2007M03";0;0;0;0
"New vehicles";"Hybrid";"2007M04";0;0;0;0
"New vehicles";"Hybrid";"2007M05";0;0;0;0
"New vehicles";"Hybrid";"2007M06";1;0;0;0
"New vehicles";"Hybrid";"2007M07";0;0;0;0
"New vehicles";"Hybrid";"2007M08";0;0;0;0
"New vehicles";"Hybrid";"2007M09";0;0;0;0
"New vehicles";"Hybrid";"2007M10";0;0;0;0
"New vehicles";"Hybrid";"2007M11";0;0;0;0
"New vehicles";"Hybrid";"2007M12";0;0;0;0
"New vehicles";"Hybrid";"2008M01";0;0;0;0
"New vehicles";"Hybrid";"2008M02";0;0;0;0
"New vehicles";"Hybrid";"2008M03";0;0;0;0
"New vehicles";"Hybrid";"2008M04";0;0;0;0
"New vehicles";"Hybrid";"2008M05";0;0;0;0
"New vehicles";"Hybrid";"2008M06";0;0;0;0
"New vehicles";"Hybrid";"2008M07";0;0;0;0
"New vehicles";"Hybrid";"2008M08";1;0;0;0
"New vehicles";"Hybrid";"2008M09";1;0;0;0
"New vehicles";"Hybrid";"2008M10";0;0;0;0
"New vehicles";"Hybrid";"2008M11";0;0;0;0
"New vehicles";"Hybrid";"2008M12";0;0;0;0
"New vehicles";"Hybrid";"2009M01";0;0;0;0
"New vehicles";"Hybrid";"2009M02";0;0;0;0
"New vehicles";"Hybrid";"2009M03";0;0;0;0
"New vehicles";"Hybrid";"2009M04";1;0;0;0
"New vehicles";"Hybrid";"2009M05";0;0;0;0
"New vehicles";"Hybrid";"2009M06";0;0;0;0
"New vehicles";"Hybrid";"2009M07";0;0;0;0
"New vehicles";"Hybrid";"2009M08";0;0;0;0
"New vehicles";"Hybrid";"2009M09";0;0;0;0
"New vehicles";"Hybrid";"2009M10";0;0;0;0
"New vehicles";"Hybrid";"2009M11";1;0;0;0
"New vehicles";"Hybrid";"2009M12";0;0;0;0
"New vehicles";"Hybrid";"2010M01";8;0;0;0
"New vehicles";"Hybrid";"2010M02";6;0;0;0
"New vehicles";"Hybrid";"2010M03";14;0;0;0
"New vehicles";"Hybrid";"2010M04";21;0;0;0
"New vehicles";"Hybrid";"2010M05";16;0;0;0
"New vehicles";"Hybrid";"2010M06";19;0;0;0
"New vehicles";"Hybrid";"2010M07";11;0;0;0
"New vehicles";"Hybrid";"2010M08";20;0;0;0
"New vehicles";"Hybrid";"2010M09";11;0;0;0
"New vehicles";"Hybrid";"2010M10";4;0;0;0
"New vehicles";"Hybrid";"2010M11";6;0;0;0
"New vehicles";"Hybrid";"2010M12";9;0;0;0
"New vehicles";"Hybrid";"2011M01";81;0;0;0
"New vehicles";"Hybrid";"2011M02";56;0;0;0
"New vehicles";"Hybrid";"2011M03";179;0;0;0
"New vehicles";"Hybrid";"2011M04";159;0;0;0
"New vehicles";"Hybrid";"2011M05";148;0;0;0
"New vehicles";"Hybrid";"2011M06";106;0;0;0
"New vehicles";"Hybrid";"2011M07";144;0;0;0
"New vehicles";"Hybrid";"2011M08";168;0;0;0
"New vehicles";"Hybrid";"2011M09";163;0;0;0
"New vehicles";"Hybrid";"2011M10";122;0;0;0
"New vehicles";"Hybrid";"2011M11";104;0;0;0
"New vehicles";"Hybrid";"2011M12";66;0;0;0
"New vehicles";"Hybrid";"2012M01";191;0;0;0
"New vehicles";"Hybrid";"2012M02";91;0;0;0
"New vehicles";"Hybrid";"2012M03";213;0;0;0
"New vehicles";"Hybrid";"2012M04";205;0;0;0
"New vehicles";"Hybrid";"2012M05";198;0;0;0
"New vehicles";"Hybrid";"2012M06";328;0;0;0
"New vehicles";"Hybrid";"2012M07";325;0;0;0
"New vehicles";"Hybrid";"2012M08";630;0;0;0
"New vehicles";"Hybrid";"2012M09";619;0;0;0
"New vehicles";"Hybrid";"2012M10";944;0;0;0
"New vehicles";"Hybrid";"2012M11";746;0;0;0
"New vehicles";"Hybrid";"2012M12";400;0;0;0
"New vehicles";"Hybrid";"2013M01";792;0;0;0
"New vehicles";"Hybrid";"2013M02";880;0;0;0
"New vehicles";"Hybrid";"2013M03";657;0;0;0
"New vehicles";"Hybrid";"2013M04";755;0;0;0
"New vehicles";"Hybrid";"2013M05";740;0;0;0
"New vehicles";"Hybrid";"2013M06";638;0;0;0
"New vehicles";"Hybrid";"2013M07";794;0;1;0
"New vehicles";"Hybrid";"2013M08";894;0;0;0
"New vehicles";"Hybrid";"2013M09";888;0;0;0
"New vehicles";"Hybrid";"2013M10";1154;17;0;0
"New vehicles";"Hybrid";"2013M11";857;0;0;0
"New vehicles";"Hybrid";"2013M12";513;0;0;0
"New vehicles";"Hybrid";"2014M01";965;0;0;0
"New vehicles";"Hybrid";"2014M02";906;0;0;0
"New vehicles";"Hybrid";"2014M03";1044;0;0;0
"New vehicles";"Hybrid";"2014M04";933;0;0;0
"New vehicles";"Hybrid";"2014M05";972;0;0;0
"New vehicles";"Hybrid";"2014M06";862;0;0;0
"New vehicles";"Hybrid";"2014M07";924;0;0;0
"New vehicles";"Hybrid";"2014M08";827;0;0;0
"New vehicles";"Hybrid";"2014M09";1185;0;0;0
"New vehicles";"Hybrid";"2014M10";1159;1;0;0
"New vehicles";"Hybrid";"2014M11";1053;1;0;0
"New vehicles";"Hybrid";"2014M12";853;0;0;0
"New vehicles";"Hybrid";"2015M01";1114;0;0;0
"New vehicles";"Hybrid";"2015M02";1117;0;0;0
"New vehicles";"Hybrid";"2015M03";1406;0;0;0
"New vehicles";"Hybrid";"2015M04";1557;0;0;0
"New vehicles";"Hybrid";"2015M05";1687;0;0;0
"New vehicles";"Hybrid";"2015M06";1937;4;0;1
"New vehicles";"Hybrid";"2015M07";1589;0;0;0
"New vehicles";"Hybrid";"2015M08";1361;0;0;0
"New vehicles";"Hybrid";"2015M09";1568;0;0;0
"New vehicles";"Hybrid";"2015M10";2003;0;0;0
"New vehicles";"Hybrid";"2015M11";1960;0;0;0
"New vehicles";"Hybrid";"2015M12";1457;0;0;0
"New vehicles";"Hybrid";"2016M01";1993;0;0;0
"New vehicles";"Hybrid";"2016M02";2798;0;0;0
"New vehicles";"Hybrid";"2016M03";3393;0;0;1
"New vehicles";"Hybrid";"2016M04";3552;0;0;0
"New vehicles";"Hybrid";"2016M05";3449;1;0;0
"New vehicles";"Hybrid";"2016M06";3177;4;0;2
"New vehicles";"Hybrid";"2016M07";2916;0;0;0
"New vehicles";"Hybrid";"2016M08";3676;0;0;0
"New vehicles";"Hybrid";"2016M09";3991;0;0;0
"New vehicles";"Hybrid";"2016M10";3209;0;0;1
"New vehicles";"Hybrid";"2016M11";3267;0;0;1
"New vehicles";"Hybrid";"2016M12";2735;0;0;0
"New vehicles";"Hybrid";"2017M01";4419;0;0;1
"New vehicles";"Hybrid";"2017M02";3772;0;0;0
"New vehicles";"Hybrid";"2017M03";3729;0;0;1
"New vehicles";"Hybrid";"2017M04";3099;10;0;0
"New vehicles";"Hybrid";"2017M05";4314;1;0;0
"New vehicles";"Hybrid";"2017M06";3673;0;0;0
"New vehicles";"Hybrid";"2017M07";3905;0;0;0
"New vehicles";"Hybrid";"2017M08";4397;0;0;0
"New vehicles";"Hybrid";"2017M09";4238;0;0;0
"New vehicles";"Hybrid";"2017M10";4476;0;0;0
"New vehicles";"Hybrid";"2017M11";4804;0;0;1
"New vehicles";"Hybrid";"2017M12";4966;0;0;0
"New vehicles";"Hybrid";"2018M01";2805;0;0;0
"New vehicles";"Hybrid";"2018M02";3467;0;0;0
"New vehicles";"Hybrid";"2018M03";3863;0;0;1
"New vehicles";"Hybrid";"2018M04";4124;0;0;0
"New vehicles";"Hybrid";"2018M05";4444;0;0;0
"New vehicles";"Hybrid";"2018M06";5809;57;0;0
"New vehicles";"Hybrid";"2018M07";2739;17;0;0
"New vehicles";"Hybrid";"2018M08";3687;1;0;0
"New vehicles";"Hybrid";"2018M09";2820;0;0;1
"New vehicles";"Hybrid";"2018M10";3371;0;0;0
"New vehicles";"Hybrid";"2018M11";3081;4;0;0
"New vehicles";"Hybrid";"2018M12";3054;0;0;0
"New vehicles";"Hybrid";"2019M01";2364;0;0;0
"New vehicles";"Hybrid";"2019M02";2678;0;0;0
"New vehicles";"Hybrid";"2019M03";3568;0;0;0
"New vehicles";"Hybrid";"2019M04";2497;4;0;0
"New vehicles";"Hybrid";"2019M05";3907;1;0;0
"New vehicles";"Hybrid";"2019M06";3283;1;0;0
"New vehicles";"Hybrid";"2019M07";2226;33;0;0
"New vehicles";"Hybrid";"2019M08";2862;24;0;0
"New vehicles";"Hybrid";"2019M09";2653;6;0;0
"New vehicles";"Hybrid";"2019M10";4019;0;3;0
"New vehicles";"Hybrid";"2019M11";3927;0;8;0
"New vehicles";"Hybrid";"2019M12";4095;0;14;0
"New vehicles";"Hybrid";"2020M01";3468;0;10;0
"New vehicles";"Hybrid";"2020M02";3291;0;12;0
"New vehicles";"Hybrid";"2020M03";3574;0;10;0
"New vehicles";"Hybrid";"2020M04";2292;0;2;0
"New vehicles";"Hybrid";"2020M05";3004;0;9;0
"New vehicles";"Hybrid";"2020M06";4030;0;7;0
"New vehicles";"Hybrid";"2020M07";3401;0;7;0
"New vehicles";"Hybrid";"2020M08";3132;2;12;0
"New vehicles";"Hybrid";"2020M09";4603;0;4;0
"New vehicles";"Hybrid";"2020M10";3932;0;12;0
"New vehicles";"Hybrid";"2020M11";4439;0;17;0
"New vehicles";"Hybrid";"2020M12";5672;0;16;0
"New vehicles";"Hybrid";"2021M01";3961;0;13;0
"New vehicles";"Hybrid";"2021M02";4604;0;21;0
"New vehicles";"Hybrid";"2021M03";5730;0;72;0
"New vehicles";"Hybrid";"2021M04";4891;0;30;0
"New vehicles";"Hybrid";"2021M05";4787;0;23;0
"New vehicles";"Hybrid";"2021M06";6060;5;61;0
"New vehicles";"Hybrid";"2021M07";3136;0;34;0
"New vehicles";"Hybrid";"2021M08";3657;0;29;0
"New vehicles";"Hybrid";"2021M09";3441;0;56;0
"New vehicles";"Hybrid";"2021M10";3012;0;40;0
"New vehicles";"Hybrid";"2021M11";3451;0;53;0
"New vehicles";"Hybrid";"2021M12";5779;0;66;0
"New vehicles";"Hybrid";"2022M01";1029;0;8;0
"New vehicles";"Hybrid";"2022M02";1458;0;17;0
"New vehicles";"Hybrid";"2022M03";1720;0;19;0
"New vehicles";"Hybrid";"2022M04";2002;0;24;0
"New vehicles";"Hybrid";"2022M05";2546;0;31;0
"New vehicles";"Hybrid";"2022M06";2467;0;66;0
"New vehicles";"Hybrid";"2022M07";1670;0;42;0
"New vehicles";"Hybrid";"2022M08";2520;0;64;0
"New vehicles";"Hybrid";"2022M09";2686;0;36;0
"New vehicles";"Hybrid";"2022M10";2251;0;26;0
"New vehicles";"Hybrid";"2022M11";3087;0;54;0
"New vehicles";"Hybrid";"2022M12";5566;0;85;0
"New vehicles";"Hybrid";"2023M01";475;0;26;0
"New vehicles";"Hybrid";"2023M02";1000;0;25;0
"New vehicles";"Hybrid";"2023M03";2130;0;30;0
"New vehicles";"Hybrid";"2023M04";1163;0;17;1
"New vehicles";"Hybrid";"2023M05";2205;0;29;0
"New vehicles";"Hybrid";"2023M06";2312;0;40;0
"New vehicles";"Hybrid";"2023M07";1123;0;14;0
"New vehicles";"Hybrid";"2023M08";1478;0;31;0
"New vehicles";"Hybrid";"2023M09";1131;0;18;0
"New vehicles";"Hybrid";"2023M10";1186;0;21;0
"New vehicles";"Hybrid";"2023M11";1691;0;22;0
"New vehicles";"Hybrid";"2023M12";2804;0;28;0
